Spelnamn,Rating,#Reviews,Rabatt%,Pris,OrdinariePris,Utgivningsår,Win,Lin,OSX,Tid
American Truck Simulator,10,50970,75,"4,99€","19,99€","2 Feb, 2016",1,1,1,25.11.2020
Age of Empires II: Definitive Edition,9,54010,50,"9,99€","19,99€","14 Nov, 2019",1,0,0,25.11.2020
HIVESWAP: ACT 2,Unavailable,,10,"11,24€","12,49€","25 Nov, 2020",1,1,1,25.11.2020
TEKKEN 7,9,27396,75,"9,99€","39,99€","1 Jun, 2017",1,0,0,25.11.2020
STAR WARS™ Battlefront™ II,9,6885,70,"11,99€","39,99€","11 Jun, 2020",1,0,0,25.11.2020
Middle-earth™: Shadow of War™,9,35660,80,"7,99€","39,99€","10 Oct, 2017",1,0,0,25.11.2020
Total War: WARHAMMER,7,27398,75,"14,99€","59,99€","24 May, 2016",1,1,1,25.11.2020
The Elder Scrolls V: Skyrim VR,7,3916,67,"19,79€","59,99€","2 Apr, 2018",1,0,0,25.11.2020
Hell Let Loose,9,17874,25,"22,49€","29,99€","6 Jun, 2019",1,0,0,25.11.2020
The Sims™ 4 Cats & Dogs,7,25,50,"19,99€","39,99€","18 Jun, 2020",1,0,0,25.11.2020
Assetto Corsa,9,28214,80,"3,99€","19,99€","19 Dec, 2014",1,0,0,25.11.2020
PAYDAY 2,9,287234,50,"4,99€","9,99€","13 Aug, 2013",1,1,0,25.11.2020
Cities: Skylines,9,102947,75,"6,99€","27,99€","10 Mar, 2015",1,1,1,25.11.2020
Europa Universalis IV,9,57689,75,"9,99€","39,99€","13 Aug, 2013",1,1,1,25.11.2020
BONEWORKS,9,14627,20,"19,99€","24,99€","10 Dec, 2019",1,0,0,25.11.2020
RACCOON CITY EDITION,9,71518,63,"29,78€","79,98€",,1,0,0,25.11.2020
Assassin's Creed® Origins,9,52614,80,"11,99€","59,99€","26 Oct, 2017",1,0,0,25.11.2020
Total War: THREE KINGDOMS,9,41749,33,"40,19€","59,99€","23 May, 2019",1,1,1,25.11.2020
Hearts of Iron IV: Mobilization Pack,9,83157,64,"38,20€","104,95€",,1,1,1,25.11.2020
Wreckfest Complete Edition,9,16834,48,"30,34€","57,97€",,1,0,0,25.11.2020
DOOM,9,83921,70,"5,99€","19,99€","12 May, 2016",1,0,0,25.11.2020
Insurgency: Sandstorm,9,46290,50,"14,99€","29,99€","12 Dec, 2018",1,0,0,25.11.2020
Black Mesa,10,43566,50,"8,99€","17,99€","6 Mar, 2020",1,1,0,25.11.2020
DARK SOULS™ II: Scholar of the First Sin,9,35428,75,"9,99€","39,99€","1 Apr, 2015",1,0,0,25.11.2020
The Crew™ 2,7,26386,80,"9,99€","49,99€","28 Jun, 2018",1,0,0,25.11.2020
Sniper Elite 4,9,21754,85,"8,99€","59,99€","13 Feb, 2017",1,0,0,25.11.2020
Dishonored 2,9,21248,80,"7,99€","39,99€","11 Nov, 2016",1,0,0,25.11.2020
Wolfenstein II: The New Colossus,7,14901,80,"5,99€","29,99€","26 Oct, 2017",1,0,0,25.11.2020
Detroit: Become Human,9,14357,30,"27,93€","39,90€","18 Jun, 2020",1,0,0,25.11.2020
Spyro™ Reignited Trilogy,10,5152,50,"19,99€","39,99€","3 Sep, 2019",1,0,0,25.11.2020
Command & Conquer™ Remastered Collection,9,14871,35,"12,99€","19,99€","5 Jun, 2020",1,0,0,25.11.2020
Kingdom Come: Deliverance,7,48175,50,"14,99€","29,99€","13 Feb, 2018",1,0,0,25.11.2020
Age of Empires Definitive Collection,9,67803,61,"23,22€","59,97€",,1,0,0,25.11.2020
Resident Evil 2,10,49431,60,"15,99€","39,99€","24 Jan, 2019",1,0,0,25.11.2020
Pavlov VR,9,15670,40,"12,59€","20,99€","27 Feb, 2017",1,0,0,25.11.2020
Terraria,10,487346,50,"4,99€","9,99€","16 May, 2011",1,1,1,25.11.2020
CODE VEIN,9,17423,60,"19,99€","49,99€","26 Sep, 2019",1,0,0,25.11.2020
Tabletop Simulator,10,21732,50,"9,99€","19,99€","5 Jun, 2015",1,1,1,25.11.2020
Mass Effect™ 3 N7 Digital Deluxe Edition,6,643,67,"9,89€","29,99€","11 Jun, 2020",1,0,0,25.11.2020
Stardew Valley,10,234892,30,"9,79€","13,99€","26 Feb, 2016",1,1,1,25.11.2020
The Forest,9,181693,50,"8,39€","16,79€","30 Apr, 2018",1,0,0,25.11.2020
Project CARS 2,7,8395,84,"9,59€","59,99€","21 Sep, 2017",1,0,0,25.11.2020
Grim Dawn,9,47168,75,"6,24€","24,99€","25 Feb, 2016",1,0,0,25.11.2020
Sid Meier's Civilization® VI: Gathering Storm,7,1718,60,"15,99€","39,99€","13 Feb, 2019",1,1,1,25.11.2020
Gears 5,6,9962,75,"9,99€","39,99€","9 Sep, 2019",1,0,0,25.11.2020
